,type,source,title
261,Movie,imdb,The Lives of Others
262,Movie,imdb,"Rome, Open City"
263,Movie,imdb,Gifted
264,Movie,imdb,The Second Mother
265,Movie,imdb,The Sting
266,Movie,imdb,The General
267,Movie,imdb,The Wages of Fear
268,Movie,imdb,CODA
269,Movie,imdb,To Kill a Mockingbird
270,Movie,imdb,The Circus
271,Movie,imdb,No Manches Frida 2
272,Movie,imdb,Bingo: The King of the Mornings
273,Movie,imdb,Song of the Sea
274,Movie,imdb,My Name Is Khan
275,Movie,imdb,El mesero
276,Movie,imdb,Prayers for Bobby
277,Movie,imdb,Palmer
278,Movie,imdb,Where Hands Touch
279,Movie,imdb,In This Corner of the World
280,Movie,imdb,Chungking Express
281,Movie,imdb,The Boy and the Beast
282,Movie,imdb,For a Few Dollars More
283,Movie,imdb,Belle
284,Movie,imdb,The Treasure of the Sierra Madre
285,Movie,imdb,Nobody Knows
286,Movie,imdb,American Beauty
287,Movie,imdb,Ivan Vasilyevich Changes His Profession
288,Movie,imdb,Innocent Voices
289,Movie,imdb,The Cranes Are Flying
290,Movie,imdb,Requiem for a Dream
291,Movie,imdb,Dial M for Murder
292,Movie,imdb,The Deer Hunter
293,Movie,imdb,Citizen Kane
294,Movie,imdb,The Wolf of Wall Street
295,Movie,imdb,A Man Escaped
296,Movie,imdb,An Egg Rescue
297,Movie,imdb,Scooby-Doo! Camp Scare
298,Movie,imdb,A Whisker Away
299,Movie,imdb,Amadeus
300,Movie,imdb,Bohemian Rhapsody
301,Movie,imdb,Harry Potter and the Prisoner of Azkaban
302,Movie,imdb,The Mitchells vs. the Machines
303,Movie,imdb,The Thing
304,Movie,imdb,The Hidden Fortress
305,Movie,imdb,The Gold Rush
306,Movie,imdb,Inner Workings
307,Movie,imdb,The Imitation Game
308,Movie,imdb,On the Waterfront
309,Movie,imdb,The Way He Looks
310,Movie,imdb,La Notte
311,Movie,imdb,Forgotten
312,Movie,imdb,Autumn Sonata
313,Movie,imdb,Pink Floyd: The Wall
314,Movie,imdb,Casino
315,Movie,imdb,Girl in the Basement
316,Movie,imdb,Paperman
317,Movie,imdb,The Secret in Their Eyes
318,Movie,imdb,My Father's Violin
319,Movie,imdb,Hachi: A Dog's Tale
320,Movie,imdb,Tae Guk Gi: The Brotherhood of War
321,Movie,imdb,Gran Torino
322,Movie,imdb,When Marnie Was There
323,Movie,imdb,Gone with the Wind
324,Movie,imdb,Dangal
325,Movie,imdb,North by Northwest
326,Movie,imdb,Barry Lyndon
327,Movie,imdb,Raya and the Last Dragon
328,Movie,imdb,Ford v Ferrari
329,Movie,imdb,Sanjuro
330,Movie,imdb,The Exterminating Angel
331,Movie,imdb,Like Stars on Earth
332,Movie,imdb,"Remi, Nobody's Boy"
333,Movie,imdb,Raging Bull
334,Movie,imdb,Rope
335,Movie,imdb,Words on Bathroom Walls
336,Movie,imdb,Operation Y and Other Shurik's Adventures
337,Movie,imdb,The Third Man
338,Movie,imdb,Scooby-Doo! and the Curse of the 13th Ghost
339,Movie,imdb,Castaway on the Moon
340,Movie,imdb,"Batman: The Dark Knight Returns, Part 2"
341,Movie,imdb,My Way
342,Movie,imdb,Cries and Whispers
343,Movie,imdb,Limelight
344,Movie,imdb,Close to the Horizon
345,Movie,imdb,1917
346,Movie,imdb,Bad Genius
347,Movie,imdb,3 Idiots
348,Movie,imdb,Trainspotting
349,Movie,imdb,Teen Titans Go! vs. Teen Titans
350,Movie,imdb,Divorce Italian Style
351,Movie,imdb,Castle in the Sky
352,Movie,imdb,The Tomorrow War
353,Movie,imdb,Lawrence of Arabia
354,Movie,imdb,Three Men and a Leg
